Eröffnungskonferenz;Mo;10.09.2018;;;07:30;-;08:15;L
Einschulung der Sextaner;Di;11.09.2018;;;15:00;;;P
Gottesdienst (Pauluskirche);Mi;12.09.2018;;;08:15;;;P
Back-to-School-Fest;Fr;14.09.2018;;;16:00;-;19:00;P
Lernstand 5 Mathematik, Deutsch;;17.09.2018;-;28.09.2018;;;;
Wandertag für alle Klassen;Di;18.09.2018;;;;;;
Klassenfotos;Mi;26.09.2018;;;;;;P
1.GLK;Mi;26.09.2018;;;15:40;-;17:00;L
Spiel- und Sportnachmittag Sextaner;Fr;28.09.2018;;;15:00;-;17:00;P
Beiratssitzung Förderverein;Mo;01.10.2018;;;19:30;;;
Elternabend Klasse 8/9(19.00),10(19:30);Do;04.10.2018;;;19:00;;;
China Austausch (Souzhou);;07.10.2018;-;20.10.2018;;;;
Elternabend Klasse 5/6 (19.00),7(19:30);Di;09.10.2018;;;19:00;;;
ChorTotal XV Mädchenchor (Ochsenhausen) bis Fr;;10.10.2018;-;13.10.2018;;;;P
Abschluss Dateneingabe Lernstand 5;Fr;12.10.2018;;;;;;L
Elternabend K1;Di;16.10.2018;;;19:00;;;
BEST Seminar;Di;16.10.2018;;;;;;
Englisch Hörverstehen (zentrale Klausur);;18.10.2018;;;;;;L
Französisch Hörverstehen (zentrale Klausur);;19.10.2018;;;;;;L
Elternbeiratssitzung;Mi;24.10.2018;;;19:00;;;
Klassenkonferenzen 5-6;Mi;24.10.2018;;;15:15;;;L
Chorfreizeit (bis Sa);;25.10.2018;-;27.10.2018;;;;P
BEST Seminar;Do;25.10.2018;;;;;;
Personalversammlung;Mi;07.11.2018;;;;;;L
Klassenkonferenzen7-8;Mi;14.11.2018;;;15:15;;;L
Konzert des JSOK (Marianum);Mi;14.11.2018;;;;;;P
USA Austausch;;17.11.2018;-;30.11.2018;;;;
Klassenkonferenzen 9-10;Mi;21.11.2018;;;15:15;;;L
Treffen mit den Grundschulen (EG) ;Mi.;21.11.2018;;;15:30;;;L
